amount,time_hour,distance_from_home,used_new_device,is_international,is_fraud
327.34,5,12.43,0,0,0
95.86,22,20.3,0,0,0
19.11,20,31.45,0,0,0
187.37,0,21.73,0,0,0
214.56,2,29.03,0,0,0
123.58,2,27.58,0,0,0
221.08,13,85.81,0,0,0
102.12,19,37.28,0,0,0
110.95,21,24.07,0,0,0
83.67,4,16.43,0,0,0
3.86,16,16.99,0,0,0
17.13,14,3.3,0,0,0
4.79,5,65.82,0,0,0
151.76,13,23.18,0,0,0
56.61,13,39.68,0,0,0
106.57,16,26.47,0,0,0
357.19,7,33.92,0,0,0
43.01,7,10.11,1,0,0
79.24,18,47.55,1,0,0
211.31,8,6.04,0,0,0
38.97,10,21.96,0,0,0
12.02,12,34.93,0,1,0
51.32,12,36.99,0,0,0
26.37,23,17.52,0,0,0
398.24,18,5.55,0,0,0
247.63,20,37.47,0,0,0
150.52,18,17.53,0,0,0
307.73,4,36.64,0,0,0
244.2,15,25.73,0,0,0
30.97,8,6.61,0,0,0
334.62,19,43.96,0,0,0
116.26,21,10.18,0,0,0
247.1,2,15.05,0,0,0
339.64,18,62.37,0,0,0
57.41,4,25.66,0,0,0
17.49,7,17.69,0,0,0
38.8,13,108.87,0,0,0
83.56,23,9.32,1,0,0
255.57,2,55.53,0,0,0
295.7,23,28.61,0,0,0
1.05,12,3.94,0,0,0
107.23,10,20.67,0,0,0
81.04,7,80.64,1,0,0
37.68,18,52.51,0,0,0
19.15,9,10.37,0,1,0
61.79,17,31.26,0,0,0
429.47,17,23.93,0,0,0
58.56,6,23.23,0,1,0
109.72,15,16.45,0,0,0
182.11,5,28.61,0,0,0
67.8,15,14.24,0,1,0
535.17,15,49.55,0,0,0
492.3,22,23.11,1,0,0
43.51,23,52.45,0,0,0
103.15,0,15.76,0,0,0
53.69,23,15.62,0,0,0
50.29,18,24.34,1,0,0
5.64,2,13.81,0,1,0
141.07,5,22.77,0,0,0
104.78,3,14.47,0,0,0
7.93,3,33.26,0,0,0
48.99,3,11.74,0,0,0
358.33,9,45.76,0,0,0
41.08,8,26.46,1,0,0
23.48,7,20.48,0,0,0
100.84,18,8.88,0,0,0
636.61,16,7.74,0,0,0
41.57,16,77.44,0,1,0
167.27,0,36.07,0,0,0
215.08,19,34.77,0,0,0
40.7,13,14.82,0,1,0
195.41,21,39.34,0,0,0
68.78,19,24.33,0,0,0
150.08,10,19.9,0,0,0
150.58,2,9.1,0,1,0
115.11,23,33.11,0,0,0
14.19,7,82.51,0,0,0
270.55,21,61.98,0,0,0
58.02,9,47.68,0,0,0
30.96,16,9.7,0,0,0
6.24,7,9.41,0,0,0
134.07,21,41.32,0,0,0
169.78,0,28.27,0,1,0
2.51,19,19.94,0,0,0
107.64,20,16.85,0,0,0
38.52,6,3.0,0,0,0
155.42,23,38.98,1,0,0
28.74,8,27.39,0,0,0
176.13,11,13.57,1,0,0
73.34,21,72.71,0,0,0
414.05,8,10.06,0,0,0
22.19,19,9.17,0,1,0
62.57,23,21.54,0,0,0
18.07,2,34.29,0,0,0
387.93,3,60.75,0,0,0
314.75,9,30.53,0,0,0
44.75,3,44.22,0,0,0
161.81,21,47.92,0,0,0
254.92,8,50.97,0,0,0
121.52,21,30.57,0,0,0
113.14,0,30.54,0,0,0
41.53,4,15.81,1,0,0
14.66,8,23.56,0,0,0
341.27,4,18.18,0,0,0
346.02,5,34.39,0,0,0
150.4,18,56.8,0,0,0
62.11,7,18.19,0,0,0
64.44,9,42.02,1,0,0
194.17,10,8.81,1,0,0
341.11,12,44.29,0,0,0
327.17,19,12.12,0,0,0
227.03,3,85.67,0,0,0
154.1,10,39.72,0,0,0
13.18,11,45.57,0,1,0
26.44,4,54.3,0,0,0
343.23,9,18.9,0,0,0
139.87,23,24.69,0,0,0
1.39,6,17.05,0,0,0
16.05,20,16.95,0,0,0
163.37,8,4.91,0,0,0
0.76,8,30.03,0,0,0
26.3,9,26.73,0,0,0
119.35,9,3.95,1,0,0
176.6,1,39.04,0,0,0
158.32,3,21.62,0,0,0
38.09,7,15.99,0,0,0
186.81,13,30.35,0,0,0
40.62,16,22.57,0,0,0
59.05,12,153.3,0,0,0
205.85,20,76.6,0,0,0
157.32,23,51.12,0,0,0
283.79,17,7.11,0,1,0
160.77,17,34.3,0,0,0
126.01,12,43.22,0,0,0
14.75,7,68.44,0,0,0
68.76,11,29.34,0,0,0
46.22,22,32.61,0,1,0
41.96,23,9.21,0,0,0
541.85,20,8.01,0,0,0
74.91,0,11.14,0,0,0
333.91,19,8.13,0,0,0
149.6,17,27.21,0,0,0
237.57,2,23.13,0,0,0
104.77,11,26.46,1,0,0
129.02,18,29.37,0,0,0
101.74,12,67.98,0,0,0
32.58,9,66.83,0,0,0
192.26,14,36.14,0,0,0
49.44,19,14.42,1,0,0
3.69,1,9.57,0,0,0
155.55,18,6.59,0,0,0
29.24,2,35.92,0,0,0
423.16,13,25.64,0,0,0
461.63,6,21.4,0,0,0
369.53,7,44.77,0,0,0
69.34,10,25.27,0,0,0
2.34,21,92.69,0,0,0
395.33,19,6.73,1,0,0
83.84,5,27.92,0,0,0
510.13,10,4.52,0,0,0
497.06,16,41.99,0,0,0
287.61,9,6.91,0,0,0
52.32,23,30.23,0,0,0
72.94,16,13.94,0,0,0
285.71,20,12.38,0,0,0
57.17,1,14.36,0,0,0
27.86,5,22.39,0,0,0
122.06,4,8.25,0,0,0
412.69,3,7.37,0,0,0
178.62,1,38.17,0,0,0
126.62,11,2.86,0,0,0
15.33,2,30.37,0,0,0
143.18,5,3.52,0,0,0
691.59,23,27.11,0,0,0
22.64,13,12.53,1,0,0
109.57,7,42.98,0,0,0
314.79,20,59.08,0,0,0
202.51,20,19.88,0,0,0
179.11,13,28.48,0,0,0
181.84,2,52.3,1,0,0
66.82,15,18.82,0,0,0
52.13,14,41.31,0,0,0
248.61,6,12.25,0,0,0
249.2,14,31.75,0,0,0
302.69,12,31.87,0,0,0
366.69,5,30.1,1,0,0
107.41,14,77.3,0,0,0
104.43,16,30.22,0,0,0
240.14,3,29.43,0,0,0
157.46,21,27.32,0,0,0
181.58,21,55.4,0,0,0
238.29,13,11.5,0,0,0
331.1,14,64.66,0,0,0
61.87,11,29.35,0,0,0
70.64,18,9.08,0,0,0
14.8,21,32.43,0,0,0
129.51,9,30.99,0,0,0
5.49,5,6.31,0,0,0
93.99,8,24.12,0,0,0
117.34,1,51.17,0,0,0
50.64,3,31.85,0,0,0
134.04,8,4.42,0,0,0
4.65,14,22.95,0,0,0
5.71,12,6.71,0,0,0
259.4,19,13.72,0,0,0
66.99,7,46.74,0,0,0
20.38,18,19.78,0,0,0
110.8,18,36.2,0,0,0
220.45,15,47.55,0,0,0
36.47,10,63.95,0,0,0
146.28,9,55.77,0,0,0
13.38,7,55.67,0,0,0
7.96,0,41.42,0,0,0
113.69,9,62.27,0,0,0
116.69,17,12.45,0,0,0
152.18,2,28.87,0,0,0
194.24,10,15.72,0,0,0
558.53,17,2.78,0,0,0
108.94,2,26.48,1,0,0
58.5,7,18.3,0,1,0
237.85,13,4.37,0,0,0
47.38,5,37.59,0,0,0
86.7,14,31.53,0,0,0
12.26,13,31.75,0,0,0
3.85,6,13.26,0,0,0
493.11,9,9.32,0,0,0
271.17,14,46.22,0,0,0
178.6,9,19.9,0,0,0
78.88,21,38.84,0,0,0
28.55,16,36.96,0,0,0
25.52,18,19.09,0,0,0
43.2,16,15.83,0,0,0
119.52,11,21.9,0,1,0
188.08,14,59.92,0,0,0
161.91,11,4.62,0,0,0
49.26,8,28.78,0,0,0
464.72,4,10.84,0,0,0
200.85,3,17.31,0,1,0
121.23,11,58.53,0,0,0
141.9,15,27.64,0,0,0
81.61,8,52.68,1,0,0
42.7,2,37.98,0,0,0
66.0,20,44.27,0,0,0
212.73,2,35.38,0,0,0
2.17,17,43.64,0,0,0
18.51,16,39.85,0,1,0
7.06,9,82.06,0,0,0
6.24,1,18.05,0,0,0
290.13,23,4.94,0,0,0
182.44,10,45.88,0,0,0
96.42,23,17.42,0,0,0
15.44,2,19.82,0,0,0
101.48,22,7.86,0,0,0
96.22,22,64.7,0,0,0
28.53,1,69.71,0,0,0
85.33,8,21.18,0,0,0
76.25,18,29.77,0,0,0
143.51,1,14.61,0,0,0
151.22,18,103.75,0,0,0
6.95,1,8.65,0,0,0
70.41,14,34.98,0,0,0
147.47,23,25.21,0,0,0
104.92,20,24.24,0,0,0
291.2,2,33.48,0,0,0
161.25,4,8.11,0,0,0
26.68,10,86.83,0,0,0
10.98,23,40.97,0,0,0
154.26,6,33.63,0,0,0
4.03,5,39.81,0,0,0
132.2,13,24.26,0,0,0
422.59,0,57.93,0,0,0
128.52,16,70.24,0,0,0
73.7,16,12.32,1,0,0
154.62,13,32.13,0,0,0
91.94,9,33.97,1,0,0
118.32,7,11.13,1,0,0
425.72,7,24.01,0,0,0
73.19,13,84.12,1,0,0
487.36,6,50.6,0,0,0
353.64,5,26.38,0,0,0
32.68,3,52.97,1,1,1
10.78,0,47.38,0,0,0
15.93,14,47.06,0,0,0
2.76,14,6.29,0,0,0
14.88,0,36.7,0,0,0
172.33,19,17.71,0,0,0
11.08,2,29.56,1,0,0
57.62,22,41.22,1,0,0
279.53,4,12.93,0,0,0
3.53,4,14.35,0,0,0
252.68,3,35.55,1,0,0
49.66,16,9.48,0,0,0
18.86,20,40.04,1,0,0
178.97,19,71.86,0,1,0
148.71,13,50.21,0,0,0
314.91,7,67.6,0,0,0
199.24,1,21.56,1,0,0
244.05,7,36.48,0,0,0
49.7,0,50.82,1,1,1
29.3,3,8.3,0,0,0
208.31,18,13.67,0,0,0
246.63,4,33.75,0,0,0
698.55,4,21.45,0,0,0
79.81,20,8.02,0,1,0
69.79,19,16.63,0,0,0
224.69,23,19.76,0,0,0
62.51,18,42.6,0,0,0
400.52,11,57.89,1,0,0
293.23,19,14.77,0,0,0
84.05,0,18.96,0,0,0
208.47,6,3.27,1,0,0
210.69,16,52.52,0,0,0
16.33,1,19.06,0,0,0
349.27,10,14.18,0,0,0
105.56,6,11.14,0,0,0
262.7,16,125.95,0,0,0
57.86,2,58.57,0,0,0
338.82,21,16.21,1,0,0
73.95,5,63.04,0,0,0
1.63,21,30.46,0,0,0
353.69,10,36.49,0,0,0
14.36,17,24.69,0,0,0
57.7,17,30.87,0,0,0
449.55,21,2.82,0,0,0
451.19,9,16.82,0,0,0
127.8,4,12.66,1,0,0
149.88,22,5.29,0,1,0
89.25,22,10.98,0,0,0
52.05,20,22.42,0,0,0
59.77,23,69.89,0,0,0
167.45,21,32.99,0,0,0
209.38,14,34.4,0,0,0
235.23,20,22.58,0,0,0
233.82,19,54.13,0,0,0
14.35,22,16.75,0,0,0
102.31,3,62.73,0,1,1
8.89,20,20.05,1,0,0
119.62,20,24.45,0,0,0
87.38,0,6.99,0,1,0
327.99,14,26.93,0,0,0
64.83,16,91.06,0,1,0
18.68,18,60.87,0,0,0
23.15,13,77.96,0,0,0
215.01,18,11.82,0,0,0
144.44,17,16.57,0,0,0
15.99,1,25.81,0,1,0
13.18,5,76.29,0,0,0
181.08,12,5.57,1,0,0
11.33,16,11.98,0,0,0
258.78,5,17.35,0,0,0
183.75,20,13.77,0,0,0
12.73,21,8.79,0,0,0
13.3,4,11.48,0,0,0
647.32,6,28.04,0,0,0
70.33,0,15.46,0,0,0
69.46,12,54.75,0,0,0
251.34,18,30.41,0,0,0
441.32,21,2.8,0,0,0
640.32,0,12.57,0,0,0
209.98,12,8.87,0,0,0
70.8,10,4.44,0,1,0
13.08,6,6.18,0,0,0
225.19,19,22.45,0,0,0
122.6,2,58.92,0,0,0
82.8,0,20.5,0,0,0
355.24,7,53.02,1,0,0
17.68,16,15.01,0,0,0
101.78,12,25.77,0,0,0
1.71,13,51.84,0,0,0
94.85,4,11.72,0,0,0
8.69,23,27.3,0,0,0
18.97,21,77.88,0,0,0
18.75,22,32.35,1,0,0
157.14,23,107.86,1,0,0
205.59,5,25.1,0,0,0
131.33,21,30.72,0,0,0
491.21,5,32.96,0,0,0
70.47,20,8.01,1,0,0
50.47,7,23.63,0,0,0
304.43,12,11.04,0,0,0
37.96,17,27.16,0,0,0
495.43,22,8.44,0,0,0
1.83,3,10.18,0,0,0
525.38,16,32.63,0,0,0
6.62,4,42.73,0,0,0
332.66,2,34.0,0,0,0
112.52,3,33.65,1,0,0
743.52,22,46.8,0,0,0
11.5,4,26.95,0,0,0
121.07,13,11.82,0,0,0
522.54,14,79.83,1,0,0
111.07,19,16.4,0,0,0
148.89,16,13.18,0,0,0
178.49,5,8.1,0,0,0
90.92,9,42.17,0,0,0
148.15,21,15.48,0,0,0
131.67,22,72.93,0,1,0
347.13,15,17.45,0,0,0
6.98,16,8.59,0,0,0
49.48,13,21.45,1,0,0
450.6,19,28.97,0,0,0
331.45,11,18.37,0,0,0
91.23,8,24.25,0,0,0
145.19,14,47.6,0,0,0
48.73,11,51.91,0,0,0
31.26,13,42.55,0,0,0
93.46,21,29.35,0,0,0
65.39,17,18.75,0,0,0
131.44,19,37.36,0,0,0
12.14,5,39.73,0,0,0
549.74,3,93.48,0,0,0
642.58,22,46.65,0,0,0
179.68,11,31.67,0,0,0
115.21,12,50.83,0,0,0
55.56,18,54.92,0,0,0
252.14,21,51.62,0,0,0
173.15,12,5.66,0,0,0
26.62,11,17.81,0,0,0
362.75,19,24.05,1,0,0
259.35,2,36.18,0,0,0
448.76,2,9.14,0,0,0
194.04,13,43.53,0,0,0
142.56,17,21.69,0,0,0
81.26,18,29.75,0,0,0
404.85,9,20.06,0,0,0
301.56,16,19.24,0,0,0
6.94,14,5.28,0,0,0
4.01,18,43.39,0,0,0
70.85,8,8.04,1,0,0
249.55,3,2.81,0,0,0
654.64,14,7.26,0,0,0
24.45,18,3.86,0,0,0
135.26,15,83.4,0,0,0
71.92,7,17.57,0,0,0
525.56,16,60.35,0,0,0
276.89,20,14.73,0,0,0
273.33,0,36.93,0,0,0
94.86,6,56.71,1,0,0
80.38,20,27.84,0,0,0
47.91,17,45.82,0,0,0
8.7,11,38.82,0,0,0
300.06,15,75.09,0,0,0
251.42,0,62.24,0,0,0
1225.87,14,31.34,0,0,0
854.23,6,47.59,0,0,0
121.6,16,11.71,0,0,0
219.79,2,14.71,0,0,0
434.43,10,47.73,0,1,0
284.22,5,64.16,0,0,0
42.62,5,27.78,1,0,0
89.82,14,45.53,0,0,0
20.74,6,28.82,0,0,0
462.03,10,80.03,0,0,0
139.78,16,70.52,0,0,0
38.94,22,38.63,0,0,0
167.07,17,72.24,0,0,0
144.4,21,16.35,0,0,0
66.51,23,21.57,0,1,0
18.08,20,5.28,1,0,0
167.02,18,14.0,0,0,0
110.19,7,11.15,0,0,0
221.97,23,9.42,0,0,0
110.15,19,102.97,0,0,0
286.77,7,54.02,0,0,0
120.41,20,48.81,1,0,0
123.47,10,16.58,0,0,0
313.91,20,11.81,1,0,0
77.5,2,11.76,0,0,0
21.58,22,4.13,0,0,0
4.38,13,42.46,0,0,0
211.06,8,19.48,0,1,0
145.26,0,8.75,0,0,0
182.65,0,12.76,0,0,0
35.92,11,24.65,0,0,0
21.99,10,46.42,0,1,0
2.2,20,18.64,0,0,0
64.75,0,62.68,0,0,0
133.71,19,69.77,1,0,0
74.7,11,73.35,0,0,0
86.3,16,20.01,1,0,0
351.76,14,29.77,0,0,0
64.22,1,15.16,0,0,0
108.23,17,21.86,1,0,0
229.63,15,17.57,0,0,0
75.76,3,9.17,0,0,0
145.96,7,27.74,0,0,0
297.47,1,23.97,0,0,0
447.93,13,41.3,0,0,0
23.86,14,42.02,0,0,0
391.75,8,25.02,0,0,0
101.63,1,37.49,0,1,0
44.81,16,21.96,1,0,0
92.19,9,12.32,0,0,0
587.05,8,10.17,1,0,0
101.77,1,14.2,0,1,0
59.79,23,25.34,0,0,0
150.52,18,44.99,0,0,0
41.19,16,7.16,0,0,0
11.83,10,10.72,1,0,0
20.7,16,94.0,0,0,0
20.55,9,13.27,0,0,0
24.71,17,67.06,0,0,0
22.42,22,13.38,1,0,0
153.61,5,12.07,0,0,0
30.11,15,70.03,0,0,0
63.62,17,6.27,1,0,0
340.65,19,27.09,0,0,0
96.36,17,8.94,0,0,0
165.19,0,19.7,0,0,0
28.37,2,5.45,1,1,1
32.03,14,23.85,0,0,0
6.26,19,6.64,0,0,0
27.76,9,57.05,0,0,0
48.98,20,2.36,0,1,0
29.22,4,19.91,0,0,0
13.93,14,7.79,0,0,0
19.28,22,4.18,0,0,0
92.64,13,9.46,0,0,0
34.66,14,44.42,0,0,0
67.95,9,11.69,0,0,0
105.0,23,12.99,0,0,0
175.87,8,68.65,0,0,0
6.02,11,6.53,0,0,0
240.97,6,35.12,1,0,0
148.29,4,49.44,0,0,0
12.79,23,37.95,0,0,0
310.22,9,4.79,0,0,0
380.5,7,12.39,0,0,0
9.45,21,17.81,0,0,0
48.63,19,46.36,0,0,0
246.14,15,47.91,0,0,0
206.9,11,6.18,0,0,0
30.6,8,58.51,0,0,0
35.23,9,34.11,0,0,0
69.42,15,1.9,0,0,0
99.4,9,9.07,0,0,0
144.45,8,16.69,0,0,0
69.05,2,44.63,0,0,0
93.13,18,30.98,0,0,0
206.43,10,34.46,1,0,0
5.61,5,17.31,0,0,0
43.64,5,48.25,0,0,0
187.42,14,41.04,0,0,0
338.37,14,30.67,0,0,0
107.52,12,30.0,0,0,0
113.93,21,27.38,0,0,0
17.0,4,16.87,0,0,0
88.97,13,11.8,1,0,0
114.09,20,20.43,1,1,0
41.65,1,8.62,0,0,0
47.05,22,31.24,0,0,0
71.05,11,88.6,0,0,0
3.04,19,40.5,0,0,0
58.31,13,45.72,0,0,0
35.63,18,38.95,0,0,0
59.51,23,61.27,0,0,0
19.13,19,60.1,0,0,0
331.81,14,23.65,0,0,0
135.06,19,41.54,1,0,0
170.49,23,34.7,0,0,0
233.51,16,24.87,0,0,0
103.51,13,57.2,1,0,0
13.64,22,35.6,0,0,0
115.54,17,14.31,0,0,0
132.59,21,16.89,0,0,0
205.23,23,42.61,0,0,0
84.76,4,13.27,0,0,0
20.47,21,64.49,0,1,0
50.06,11,11.56,0,0,0
67.67,9,83.99,0,0,0
155.73,7,32.3,0,0,0
126.87,5,25.19,0,0,0
66.03,14,84.23,0,0,0
645.93,11,12.19,0,0,0
139.62,5,51.22,0,0,0
40.62,11,82.28,0,0,0
16.1,14,18.48,0,0,0
24.88,11,25.03,0,0,0
42.35,8,19.25,0,0,0
26.27,18,8.1,1,0,0
30.97,20,19.7,1,0,0
50.34,1,47.05,0,0,0
28.56,12,7.74,0,0,0
340.61,12,44.43,0,0,0
12.55,7,4.31,0,0,0
111.51,12,16.93,0,0,0
79.25,3,29.82,0,0,0
605.8,5,33.58,0,0,0
17.82,5,46.83,0,0,0
76.09,20,43.39,0,0,0
523.36,11,54.34,0,0,0
300.94,11,15.65,0,0,0
254.8,16,26.05,0,0,0
44.74,6,36.54,0,0,0
28.11,14,18.79,0,0,0
165.68,23,7.62,1,0,0
397.56,16,20.74,0,0,0
122.05,9,37.35,0,0,0
127.16,22,9.51,1,0,0
49.27,19,64.78,0,0,0
220.12,5,47.4,0,0,0
31.06,8,21.18,0,0,0
58.66,14,9.84,1,0,0
83.12,15,32.87,0,0,0
106.27,20,12.86,0,0,0
41.64,7,9.93,0,0,0
18.3,15,12.52,0,0,0
141.48,4,27.01,0,0,0
51.08,17,38.21,0,0,0
130.57,19,27.03,0,0,0
25.15,13,46.98,0,0,0
98.42,1,84.42,0,1,0
114.08,22,28.51,0,0,0
7.98,22,36.73,0,0,0
61.56,2,27.65,0,0,0
21.65,13,15.88,0,0,0
9.82,6,31.58,0,0,0
690.18,14,3.25,0,0,0
58.37,16,22.38,0,0,0
249.01,0,23.7,0,0,0
44.08,8,30.35,0,0,0
171.62,21,48.3,0,0,0
214.21,13,34.39,0,0,0
135.82,15,30.3,0,0,0
95.68,20,11.99,0,0,0
79.61,12,49.08,0,0,0
64.36,5,34.01,0,0,0
397.88,21,37.06,0,0,0
266.34,0,28.66,0,0,0
502.98,20,36.37,0,0,0
19.91,3,35.01,0,0,0
196.88,2,35.3,1,0,0
417.92,16,23.49,0,0,0
29.99,1,29.73,0,0,0
10.32,18,36.69,0,0,0
202.71,19,33.04,0,0,0
128.16,22,9.58,0,0,0
276.61,21,13.32,1,0,0
22.58,7,37.75,0,0,0
237.91,14,10.33,0,0,0
33.78,5,26.64,1,0,0
26.81,22,20.84,0,0,0
26.92,19,47.09,0,0,0
252.77,1,39.96,0,0,0
164.13,14,41.16,0,0,0
111.06,19,18.07,0,0,0
66.67,11,41.32,1,1,1
314.58,2,33.68,1,0,0
74.75,9,12.47,0,0,0
254.41,13,3.9,0,0,0
86.74,21,19.46,0,0,0
70.97,13,45.42,0,0,0
93.17,2,15.01,0,1,0
53.8,0,36.94,0,0,0
206.52,19,23.55,0,0,0
104.79,0,58.22,0,0,0
39.64,1,14.2,0,0,0
344.75,18,40.84,0,0,0
72.65,23,19.41,0,0,0
117.64,9,15.9,0,0,0
355.42,3,29.35,0,0,0
146.82,3,15.51,0,1,0
18.65,12,14.08,1,0,0
421.59,8,37.14,0,0,0
148.21,6,67.71,0,0,0
61.17,15,67.42,0,1,0
22.5,17,36.15,0,0,0
237.0,2,30.03,0,0,0
145.17,19,20.77,0,0,0
114.36,19,5.88,0,0,0
336.5,9,86.94,0,1,0
233.1,23,14.09,0,0,0
24.67,21,70.21,0,0,0
56.03,15,17.29,0,0,0
42.85,2,10.48,0,0,0
204.36,10,87.23,0,0,0
5.12,9,49.7,1,0,0
126.56,15,27.46,0,0,0
215.61,7,18.68,0,0,0
314.05,8,7.78,0,0,0
62.8,14,47.29,0,0,0
258.27,20,20.45,0,0,0
17.59,2,82.6,0,0,0
281.06,3,20.67,0,0,0
20.46,12,28.15,0,1,0
75.95,11,8.05,0,0,0
239.4,20,56.0,0,0,0
24.36,8,24.95,0,0,0
39.06,13,33.84,0,0,0
192.16,18,25.79,0,1,0
190.96,6,5.6,0,0,0
153.73,15,37.87,0,1,0
177.6,21,44.23,1,1,1
117.37,19,33.83,0,0,0
43.51,4,63.51,0,0,0
63.63,9,25.35,0,0,0
30.06,17,6.12,0,0,0
358.63,10,25.01,0,0,0
131.34,6,23.81,0,0,0
76.84,13,34.58,0,0,0
92.99,19,11.06,0,0,0
441.42,17,98.5,0,0,0
24.97,10,26.44,0,0,0
132.37,21,21.64,0,0,0
105.75,11,37.27,0,0,0
141.8,17,17.99,0,0,0
2.74,1,12.59,0,0,0
308.5,22,6.22,0,0,0
403.5,0,30.35,1,0,0
124.91,22,40.36,1,0,0
178.93,9,8.79,0,0,0
383.62,20,74.76,1,0,0
184.26,0,13.59,0,0,0
24.83,5,18.83,1,0,0
128.81,6,74.45,0,0,0
139.98,16,27.04,0,1,0
82.78,8,40.99,0,0,0
200.02,6,12.77,0,0,0
408.55,16,29.1,0,0,0
389.68,2,23.75,0,0,0
89.9,15,2.76,0,0,0
18.03,4,61.21,0,0,0
628.38,19,48.01,0,0,0
273.86,17,8.33,0,0,0
19.97,0,31.87,1,0,0
380.45,3,18.84,0,0,0
305.91,22,23.04,0,0,0
109.73,10,47.31,0,1,0
134.21,19,21.97,0,0,0
76.37,8,32.46,0,0,0
8.45,7,36.88,0,0,0
61.24,7,21.95,0,0,0
243.57,4,40.65,0,0,0
0.7,11,46.9,0,0,0
60.86,0,50.27,1,0,0
76.17,14,2.47,1,0,0
115.63,17,12.54,0,0,0
378.59,5,13.49,1,0,0
63.78,9,22.44,0,0,0
63.92,13,20.88,0,0,0
200.63,20,62.65,0,0,0
90.28,7,4.04,0,0,0
38.16,2,58.43,0,0,0
90.34,21,10.31,0,0,0
22.77,21,20.49,0,0,0
29.11,18,16.43,0,0,0
103.48,11,22.56,0,0,0
81.43,11,8.16,0,0,0
369.49,14,26.01,0,0,0
67.51,6,17.34,0,0,0
130.34,3,33.15,1,0,0
150.06,20,44.54,1,0,0
1.98,8,15.6,0,0,0
163.39,21,104.2,1,0,0
29.41,15,15.45,0,0,0
486.9,12,6.21,0,0,0
24.14,3,51.46,0,0,0
80.33,23,44.69,1,0,0
13.38,8,61.41,0,0,0
865.21,20,42.76,0,0,0
104.63,17,21.15,0,0,0
135.72,14,25.31,0,0,0
10.41,14,4.9,0,0,0
207.92,5,48.58,0,0,0
35.34,10,18.35,0,0,0
342.5,7,68.83,0,0,0
34.44,20,19.36,0,0,0
31.74,16,19.84,0,0,0
5.59,23,16.73,1,0,0
95.82,16,43.18,0,1,0
124.81,23,7.01,0,0,0
10.2,17,15.11,0,0,0
224.1,3,70.05,0,0,0
90.58,14,23.0,1,0,0
111.47,1,46.62,1,0,0
87.18,1,26.58,1,0,0
76.81,9,63.15,0,0,0
123.02,2,30.04,0,0,0
25.31,7,148.99,0,0,0
30.12,19,20.61,0,0,0
296.84,6,63.26,1,0,0
438.14,11,3.29,0,1,0
70.1,18,25.5,0,0,0
